,Izotope,Eff-exp,Eff-fit,Eff-exp/Eff-fit,diff_%,Name
0,Am241,0.039097294965265796,0.03974688512232264,0.9836568285776934,1.6614708450647133,SWFP321
1,Cd109,0.07580480088671822,0.0724263432795544,1.0466468063163634,4.4567858072901565,SWFP321
2,Co57,0.0777121755633391,0.07968114971617578,0.975289335559914,2.5336752427318996,SWFP321
3,Co57,0.057261372562863,0.07738638226174022,0.7399412001092212,35.14587373326315,SWFP321
4,Sn113,0.03247379007341404,0.045908456475176565,0.7073596580397588,41.37079894706022,SWFP321
5,Cr51,0.03401343017264427,0.034942032480616586,0.9734244907336904,2.7301048534621333,SWFP321
6,Sn113,0.025863265123594895,0.027073568794276526,0.9552957469376001,4.679624420574333,SWFP321
7,Sr85,0.02117512174000966,0.019155329323773763,1.1054428447611768,9.538516193838772,SWFP321
8,Cs137,0.013922292954201849,0.013992461259244375,0.9949852778762444,0.503999630472862,SWFP321
9,Mn54,0.010564462254914796,0.010580385881750566,0.9984949861929672,0.15072822876869182,SWFP321
10,Y88,0.009475293334129838,0.009706157854845123,0.9762146336204451,2.4364894317700543,SWFP321
11,Zn65,0.007939661165260766,0.007523810807624696,1.0552712406344193,5.2376335586659994,SWFP321
12,Co60,0.0069536625008862095,0.007089564864938742,0.9808306480522332,1.9543997718499024,SWFP321
13,Co60,0.005734179411984152,0.006090515832166283,0.9414932281597257,6.214253070585921,SWFP321
14,Y88,0.004143908120442018,0.004045620726066188,1.0242947624186713,2.371852645356105,SWFP321
