,S,dS,En,En_keV,Isotope,Int,T_1/2_s,t_meas_s,t_start_meas,t_stop_meas
0,175.0,91.2,46.3,46.54,Pb-210,0.0425,700578720,324618,2021-03-01,2021-03-05
2,213.9,97.0,121.9,122.32,Ra-223,0.011899999999999999,687072067,324618,2021-03-01,2021-03-05
3,852.4,97.8,186.1,186.21,Ra-226,0.0364,50492160000,324618,2021-03-01,2021-03-05
4,1334.1,105.5,238.9,238.63,Pb-212,0.433,441806400000000000,324618,2021-03-01,2021-03-05
5,1253.1,72.5,295.3,295.22,Pb-214,0.18420000000000003,50492160000,324618,2021-03-01,2021-03-05
6,51.3,40.7,338.8,338.32,Ac-228,0.113,441806400000000000,324618,2021-03-01,2021-03-05
7,1935.9,69.0,351.7,351.93,Pb-214,0.35600000000000004,50492160000,324618,2021-03-01,2021-03-05
8,130.8,43.5,440.8,440.8,Nieznany,1.0,1,324618,2021-03-01,2021-03-05
9,1910.6,73.9,510.7,510.77,Tl-208,0.226,441806400000000000,324618,2021-03-01,2021-03-05
10,180.6,35.0,583.4,583.19,Tl-208,0.85,441806400000000000,324618,2021-03-01,2021-03-05
12,1344.3,52.1,609.2,609.32,Bi-214,0.4549,50492160000,324618,2021-03-01,2021-03-05
13,89.6,31.3,662.6,661.66,Cs-137,0.851,949252608,324618,2021-03-01,2021-03-05
14,175.0,36.0,669.7,667.72,I-132,0.987,8262,324618,2021-03-01,2021-03-05
15,109.5,39.8,694.0,695.88,Te-129m,0.03,2903040,324618,2021-03-01,2021-03-05
16,105.4,29.2,768.2,768.36,Bi-214,0.048,50492160000,324618,2021-03-01,2021-03-05
17,139.4,28.9,910.9,911.2,Ac-228,0.258,441806400000000000,324618,2021-03-01,2021-03-05
19,115.8,26.9,961.5,961.5,Nieznany,1.0,1,324618,2021-03-01,2021-03-05
20,57.5,24.3,968.6,968.97,Ac-228,0.162,441806400000000000,324618,2021-03-01,2021-03-05
21,233.7,25.7,1119.9,1120.29,Bi-214,0.1492,50492160000,324618,2021-03-01,2021-03-05
22,79.4,20.0,1237.6,1238.1,Bi-214,0.058600000000000006,50492160000,324618,2021-03-01,2021-03-05
23,8.1,12.0,1276.0,1274.0,Na-22,0.9994,82106564,324618,2021-03-01,2021-03-05
24,1.0,9.4,1276.7,1276.7,Nieznany,1.0,1,324618,2021-03-01,2021-03-05
25,39.3,15.1,1285.3,1285.3,Nieznany,1.0,1,324618,2021-03-01,2021-03-05
26,52.3,15.4,1377.3,1377.7,Bi-214,0.0392,50492160000,324618,2021-03-01,2021-03-05
27,40.6,14.3,1401.4,1401.5,Bi-214,0.0155,50492160000,324618,2021-03-01,2021-03-05
28,39.7,14.1,1407.3,1408.0,Bi-214,0.027999999999999997,50492160000,324618,2021-03-01,2021-03-05
29,414.6,27.4,1460.7,1460.83,K-40,0.1066,39383884800000000,324618,2021-03-01,2021-03-05
